[0.025s] Invoking command in '/home/amaan/ros2_ws2/my_bot/build/my_bot': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/amaan/robot_ws/install/path_smoothing_controller:/opt/ros/humble /usr/bin/cmake --build /home/amaan/ros2_ws2/my_bot/build/my_bot -- -j12 -l12
[0.086s] Invoked command in '/home/amaan/ros2_ws2/my_bot/build/my_bot' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/amaan/robot_ws/install/path_smoothing_controller:/opt/ros/humble /usr/bin/cmake --build /home/amaan/ros2_ws2/my_bot/build/my_bot -- -j12 -l12
[0.105s] Invoking command in '/home/amaan/ros2_ws2/my_bot/build/my_bot': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/amaan/robot_ws/install/path_smoothing_controller:/opt/ros/humble /usr/bin/cmake --install /home/amaan/ros2_ws2/my_bot/build/my_bot
[0.114s] -- Install configuration: ""
[0.115s] -- Execute custom install script
[0.116s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/my_bot/config/bot.rviz
[0.117s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/my_bot/config/empty.yaml
[0.117s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/my_bot/config/mapper_params_online_async.yaml
[0.117s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/my_bot/config/my_controllers.yaml
[0.118s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/my_bot/description/gazebo_control.xacro
[0.118s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/my_bot/description/inertial_macros.xacro
[0.118s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/my_bot/description/lidar.xacro
[0.118s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/my_bot/description/robot.urdf.xacro
[0.119s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/my_bot/description/robot_core.xacro
[0.119s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/my_bot/description/ros2_control.xacro
[0.119s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/my_bot/launch/launch_sim.launch.py
[0.119s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/my_bot/launch/rsp.launch.py
[0.119s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/my_bot/worlds/empty.world
[0.120s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/ament_index/resource_index/package_run_dependencies/my_bot
[0.120s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/ament_index/resource_index/parent_prefix_path/my_bot
[0.120s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/my_bot/environment/ament_prefix_path.sh
[0.121s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/my_bot/environment/ament_prefix_path.dsv
[0.121s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/my_bot/environment/path.sh
[0.121s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/my_bot/environment/path.dsv
[0.122s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/my_bot/local_setup.bash
[0.122s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/my_bot/local_setup.sh
[0.122s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/my_bot/local_setup.zsh
[0.122s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/my_bot/local_setup.dsv
[0.123s] -- Symlinking: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/my_bot/package.dsv
[0.138s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/ament_index/resource_index/packages/my_bot
[0.138s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/my_bot/cmake/my_botConfig.cmake
[0.138s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/my_bot/cmake/my_botConfig-version.cmake
[0.139s] -- Up-to-date symlink: /home/amaan/ros2_ws2/my_bot/install/my_bot/share/my_bot/package.xml
[0.143s] Invoked command in '/home/amaan/ros2_ws2/my_bot/build/my_bot' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/amaan/robot_ws/install/path_smoothing_controller:/opt/ros/humble /usr/bin/cmake --install /home/amaan/ros2_ws2/my_bot/build/my_bot
